Retorno_Anual;Volatilidade;Sharpe;Pareto_Eficiente;Peso_AAPL;Peso_AMZN;Peso_BRK_B;Peso_GOOGL;Peso_JNJ;Peso_JPM;Peso_MSFT;Peso_XOM
0,187179;0,205396;0,911307;0;0,08980735476508431;0,04775325757823601;0,3489523975154366;0,1838440125206424;0,18148130062081397;0,0629855270067186;0,05336656368590638;0,03180958630716174
0,189229;0,215151;0,879516;0;0,0025479482863183353;0,08783817069866244;0,07359786337304913;0,35884987557975484;0,2500603505816142;0,03559549215421645;0,06434018413656009;0,1271701151898246
0,195339;0,200584;0,973852;0;0,22824309561888576;0,034228832321458444;0,07213431893881683;0,016659094336285277;0,37104190201176435;0,11224981297647575;0,03127170839748882;0,13417123539882472
0,222694;0,230651;0,965503;0;0,12834632454266062;0,05911824494540558;0,01607066409931257;0,14844757995697633;0,09794062901720516;0,1972926486769853;0,09790055688782602;0,25488335187362837
0,224932;0,224662;1,001199;0;0,11833357007187416;0,12133489525326047;0,3084924707132169;0,07615871371271277;0,021210449187643324;0,004305097125254186;0,20741361236832723;0,14275119156771104
0,249657;0,233376;1,069762;0;0,30329438003990955;0,0596497151138296;0,03651804899537259;0,0036493691954869404;0,10752405871541018;0,2220280103317671;0,12403662637375656;0,1432997912344674
0,248832;0,236434;1,052437;0;0,20439717023213902;0,037313717401420095;0,0628886161596939;0,13343183030031772;0,044023130551720954;0,08481523303028145;0,17285189824191355;0,26027840408251335
0,195479;0,239821;0,815104;0;0,017009865430968208;0,27925262350275354;0,07244213598352903;0,03194235509325223;0,06571484857752412;0,41846823044872944;0,0725478328145394;0,04262210814870392
0,254644;0,243182;1,047134;0;0,33783916422987226;0,0924579183737639;0,02656132384323649;0,046451490291178954;0,04612937024871058;0,05546896742391417;0,050318041328905876;0,34477372426041786
0,164748;0,196824;0,837033;0;0,03948639952355949;0,08342733947717983;0,44669598461047794;0,12635506208015884;0,21662131951198085;0,037201194075706524;0,042005042974563075;0,008207657746373564
0,210317;0,231641;0,907946;0;0,08299754323966614;0,14646355359909907;0,08737711058107342;0,04166124184556965;0,05766010823889955;0,27701947515597675;0,10364961186192206;0,20317135547779333
0,231123;0,232116;0,995724;0;0,07610588510387417;0,127471785510498;0,004360370685317691;0,17466108681832299;0,10748177221603393;0,009273480205372973;0,22485150850233104;0,27579411095824924
0,19783;0,221881;0,891602;0;0,012676011487807635;0,06520287246168327;0,3300472866513626;0,27743515960238;0,041027168399034836;0,04724610007206537;0,09308165942658034;0,13328374189908607
0,241077;0,240258;1,003408;0;0,13275454676561052;0,06345635440182627;0,08559289804053319;0,18971993901318104;0,005152045584192504;0,04010704653877856;0,17224861021086552;0,3109685594450125
0,22183;0,222921;0,995104;0;0,17881692009948155;0,189481981299672;0,028280574965056163;0,14797312956802752;0,18975073756648198;0,06927681201516926;0,07825329596548485;0,11816654852062677
0,210312;0,246297;0,853898;0;0,0037408545371570854;0,07172068624365971;0,04382984605820167;0,07320122074789079;0,023535710144605423;0,40813424886299454;0,16612582284633137;0,20971161055915952
0,242411;0,233561;1,037892;0;0,2568150873019668;0,11383743540562398;0,015001347911742405;0,1270718963533471;0,14582351136533228;0,22571891779610453;0,0932155077100566;0,022516296155826315
